"id","age","apiId","appearances","assists","birthCountry","birthDate","birthPlace","fantasyPoints","fantasyPrice","firstname","goals","height","injuryDetails","isInjured","lastname","minutes","name","nationality","number","photo","position","rating","redCards","teamApiId","teamName","weight","yellowCards"
"49","32","49","0","0","Ghana","1993-06-13","Odumase Krobo","0","4","Thomas","0","185 cm","","false","Teye Partey","788","T. Partey","Ghana","0","https://media.api-sports.io/football/players/49.png","Midfielder","6.0","0","42","Arsenal","77 kg","3"
"206404","22","206404","0","0","France","2003-09-05","Neuilly-sur-Seine","0","4","Samy Olivier","0","180 cm","","false","Chouchane","0","Samy Olivier Chouchane","Tunisia","0","https://media.api-sports.io/football/players/206404.png","Midfielder","6.0","0","51","Brighton","","0"
"310186","20","310186","0","0","England","2005-02-14","Birmingham","0","4","Calum","0","171 cm","","false","Scanlon","0","C. Scanlon","England","0","https://media.api-sports.io/football/players/310186.png","Defender","6.0","0","40","Liverpool","60 kg","0"
"280683","22","280683","0","0","England","2003-09-20","","0","4","James","0","","","false","Balagizi","0","James Balagizi","England","0","https://media.api-sports.io/football/players/280683.png","Midfielder","6.0","0","40","Liverpool","","0"
"18753","29","18753","0","0","Spain","1996-01-25","L'Hospitalet de Llobregat","0","4","Adama","0","178 cm","","false","Traoré Diarra","0","Adama Traoré","Spain","0","https://media.api-sports.io/football/players/18753.png","Attacker","6.0","0","39","Wolves","86 kg","0"
"22","27","22","0","0","Denmark","1998-09-19","Lyngby","0","5.8","Jacob","6","183 cm","","false","Bruun Larsen","1251","J. Bruun Larsen","Denmark","0","https://media.api-sports.io/football/players/22.png","Attacker","6.0","0","44","Burnley","77 kg","1"
"6009","25","6009","0","8","Argentina","2000-01-31","Cachín","0","8.9","Julián","11","170 cm","","false","Álvarez","2658","J. Álvarez","Argentina","0","https://media.api-sports.io/football/players/6009.png","Attacker","6.0","0","50","Manchester City","71 kg","2"
"19177","30","19177","0","0","England","1995-07-16","Redbridge","0","4","Kortney Paul Duncan","0","191 cm","","false","Hause","0","K. Hause","England","0","https://media.api-sports.io/football/players/19177.png","Defender","6.0","0","66","Aston Villa","77 kg","0"
"18924","33","18924","0","0","Republic of Ireland","1992-01-31","Dublin","0","4","Jeffrey Patrick","0","185 cm","","false","Hendrick","0","J. Hendrick","Republic of Ireland","0","https://media.api-sports.io/football/players/18924.png","Midfielder","6.0","0","34","Newcastle","79 kg","0"
"94360","23","94360","0","0","New Zealand","2002-07-04","Auckland","0","4","Alexander Noah","0","193 cm","","false","Paulsen","0","A. Paulsen","New Zealand","0","https://media.api-sports.io/football/players/94360.png","Goalkeeper","6.0","0","35","Bournemouth","82 kg","0"
"384981","18","384981","0","0","England","2007-03-07","","0","4","Samuel","0","184 cm","","false","Amissah","0","S. Amissah","England","0","https://media.api-sports.io/football/players/384981.png","Defender","6.0","0","36","Fulham","73 kg","0"
"48649","26","48649","0","0","Switzerland","1999-06-22","Lausanne","0","4","Andi Avdi","0","185 cm","","false","Zeqiri","0","A. Zeqiri","Switzerland","0","https://media.api-sports.io/football/players/48649.png","Attacker","6.0","0","51","Brighton","81 kg","0"
"297641","21","297641","0","0","England","2004-09-06","","0","4","Jenson","0","","","false","Metcalfe","0","Jenson Metcalfe","England","0","https://media.api-sports.io/football/players/297641.png","Midfielder","6.0","0","45","Everton","","0"
"888","31","888","0","0","England","1992-02-21","Preston","0","4","Phil Anthony","0","180 cm","","false","Jones","0","P. Jones","England","0","https://media.api-sports.io/football/players/888.png","Defender","6.0","0","33","Manchester United","71 kg","0"
"134428","21","134428","0","0","England","2004-01-12","Exeter","0","4","Benjamin Joshua","0","183 cm","","false","Chrisene","0","B. Chrisene","England","0","https://media.api-sports.io/football/players/134428.png","Defender","6.0","0","66","Aston Villa","80 kg","0"
"382170","20","382170","0","0","England","2005-02-02","Guildford","0","4","Maxwell","0","184 cm","","false","Kinsey-Wellings","0","M. Kinsey-Wellings","England","0","https://media.api-sports.io/football/players/382170.png","Defender","6.0","0","35","Bournemouth","76 kg","0"
"284551","21","284551","0","0","England","2004-02-18","","0","4","Jack Campbell","0","180 cm","","false","Wells-Morrison","0","J. Wells-Morrison","England","0","https://media.api-sports.io/football/players/284551.png","Midfielder","6.0","0","52","Crystal Palace","","0"
"378","33","378","0","0","Brazil","1992-12-15","Caxias do Sul","0","4","Alex","0","181 cm","","false","Nicolao Telles","0","Alex Telles","Brazil","0","https://media.api-sports.io/football/players/378.png","Defender","6.0","0","33","Manchester United","71 kg","0"
"27778","26","27778","0","0","Hungary","1999-11-22","Székesfehérvár","0","4","Bendegúz Bence","0","180 cm","","false","Bolla","0","B. Bolla","Hungary","0","https://media.api-sports.io/football/players/27778.png","Defender","6.0","0","39","Wolves","72 kg","0"
"174","33","174","0","2","Denmark","1992-02-14","Middelfart","0","4.7","Christian","1","182 cm","","false","Dannemann Eriksen","1138","C. Eriksen","Denmark","0","https://media.api-sports.io/football/players/174.png","Midfielder","6.0","0","33","Manchester United","76 kg","1"
"19345","26","19345","0","0","Denmark","1999-01-07","Horsens","0","4","Mads","0","189 cm","","false","Bech Sørensen","0","M. Bech","Denmark","0","https://media.api-sports.io/football/players/19345.png","Defender","6.0","0","55","Brentford","92 kg","0"
"309507","21","309507","0","0","England","2004-10-21","","0","4","Bradley","0","","","false","Ibrahim","0","B. Ibrahim","England","0","https://media.api-sports.io/football/players/309507.png","Midfielder","6.0","0","42","Arsenal","","0"
"201373","20","201373","0","0","Republic of Ireland","2005-12-01","Navan","0","4","Sam","0","185 cm","","false","Curtis","27","S. Curtis","Republic of Ireland","0","https://media.api-sports.io/football/players/201373.png","Defender","6.0","0","62","Sheffield Utd","","0"
"334725","22","334725","0","0","England","2003-09-02","","0","4","Dominic","0","174 cm","","false","Sadi","0","D. Sadi","England","0","https://media.api-sports.io/football/players/334725.png","Attacker","6.0","0","35","Bournemouth","65 kg","0"
"19592","32","19592","0","0","England","1992-03-22","Dartford","0","4","Luke Anthony","0","181 cm","","false","Freeman","0","L. Freeman","England","0","https://media.api-sports.io/football/players/19592.png","Midfielder","6.0","0","1359","Luton","64 kg","0"
"191337","24","191337","0","0","France","2001-11-08","Béziers","0","4","Tristan","0","192 cm","","false","Crama","0","T. Crama","France","0","https://media.api-sports.io/football/players/191337.png","Defender","6.0","0","55","Brentford","78 kg","0"
"125618","24","125618","0","0","Poland","2001-03-13","Radom","0","4","Michał","0","175 cm","","false","Karbownik","0","M. Karbownik","Poland","0","https://media.api-sports.io/football/players/125618.png","Defender","6.0","0","51","Brighton","64 kg","0"
"264437","24","264437","0","0","England","2001-01-30","Chester","0","4","Bobby Craig","0","193 cm","","false","Thomas","0","B. Thomas","England","0","https://media.api-sports.io/football/players/264437.png","Defender","6.0","0","44","Burnley","77 kg","0"
